nodeId;realId;label;embedding
11796;47;0;[0.6173622012138367,-0.5191182494163513,-0.24617694318294525,-0.9358240962028503,0.9865806102752686,-0.8661861419677734,0.41228052973747253,0.23126155138015747,-0.24311961233615875,-0.06548061221837997]
11797;51;0;[1.4263843297958374,-1.0205789804458618,-0.9277063012123108,-0.16294974088668823,0.5891185402870178,-1.0540401935577393,-0.9176969528198242,0.1416078805923462,0.10396232455968857,-0.10384765267372131]
11798;52;0;[0.2986065745353699,-1.034907579421997,-0.8267215490341187,-1.0815809965133667,1.1033121347427368,-1.24990975856781,0.14687345921993256,0.9564666152000427,-0.62143474817276,0.26015666127204895]
11799;53;0;[0.7659369707107544,-1.1159558296203613,-0.8392512798309326,-0.48889559507369995,1.5028245449066162,-1.0168440341949463,0.7993753552436829,0.3277752101421356,-0.7577506899833679,-0.012501765042543411]
11800;54;0;[0.2923709750175476,-1.4449365139007568,-0.6533647775650024,-0.4983470141887665,1.7330241203308105,-0.9791151285171509,0.5032834410667419,0.3038570284843445,-0.6254823207855225,-0.047225791960954666]
11801;55;0;[0.5905683636665344,-0.4933995306491852,-0.4673507809638977,-1.0944924354553223,0.6084485054016113,-1.130717158317566,0.29270628094673157,0.368728369474411,-0.3546088933944702,-0.3103996813297272]
11802;56;0;[0.2295372486114502,-0.7366334795951843,-0.45338213443756104,-1.0434377193450928,1.352581262588501,-1.1853009462356567,0.45053529739379883,0.18779706954956055,-0.2782123386859894,0.21975280344486237]
11803;57;0;[1.0317344665527344,-0.9948404431343079,0.08662310987710953,-0.6217643618583679,0.5433313846588135,-0.1507975161075592,-0.46491730213165283,0.06148413196206093,0.15484246611595154,0.14387381076812744]
11804;60;0;[0.5988720059394836,-0.6824301481246948,-0.7407636046409607,-0.9789714217185974,1.4962904453277588,-1.7015987634658813,0.7023436427116394,0.09882158041000366,-0.2612949013710022,0.20090188086032867]
11805;61;0;[0.33943548798561096,-0.877007007598877,-0.11977876722812653,-1.3047329187393188,1.2634931802749634,-0.8813983201980591,0.5084617733955383,0.2729259431362152,-0.9010900259017944,-0.418988972902298]
11806;62;0;[0.4640960693359375,-1.35567307472229,-0.6303184628486633,-0.43449389934539795,1.4741743803024292,-1.2399697303771973,0.5246189832687378,0.46215710043907166,-0.3985012471675873,-0.5479987859725952]
11807;64;0;[1.0488148927688599,-0.4780994951725006,-1.0631574392318726,-0.5506724715232849,1.230864405632019,-0.8612934350967407,0.04471108689904213,0.3656352758407593,-0.8036690950393677,-0.2625509798526764]
11808;65;0;[0.8794845342636108,-0.016185889020562172,0.3103932738304138,-0.4991799592971802,0.734241247177124,0.017720524221658707,-0.0589153990149498,0.3274834454059601,-0.28190359473228455,0.28218966722488403]
11809;66;0;[0.5906738042831421,-0.6715728640556335,0.12495126575231552,-0.7124512791633606,1.2771104574203491,-0.18572495877742767,0.7260787487030029,0.5486220121383667,-1.2147750854492188,0.1950819194316864]
11810;68;0;[0.5162174701690674,-0.7940599918365479,-0.7375116944313049,-1.0872620344161987,0.9071824550628662,-0.7926289439201355,0.28738275170326233,0.9664207100868225,-0.6626070737838745,-0.011568566784262657]
11811;69;0;[0.5668801069259644,-1.3206857442855835,-0.1193193569779396,-0.7974192500114441,1.0829509496688843,-1.5426812171936035,1.4563251733779907,0.45334166288375854,-0.46665093302726746,-0.1848878562450409]
11812;70;0;[0.2140980064868927,-0.701575517654419,0.1968098133802414,-1.1370619535446167,0.46344754099845886,-0.7244266867637634,0.5538331270217896,1.284213900566101,-0.1861766278743744,0.34227603673934937]
11813;71;0;[0.670613169670105,-0.8750009536743164,-0.5250040292739868,-0.7424435615539551,1.2614132165908813,-0.6088511943817139,0.17525583505630493,0.22360916435718536,-0.8300517201423645,-0.5060737133026123]
11814;72;0;[1.145669937133789,-0.25978684425354004,-0.18054203689098358,-1.1982778310775757,1.0394713878631592,-0.3198244273662567,0.7114354968070984,0.21586962044239044,-0.6041977405548096,-0.039544351398944855]
11815;74;0;[0.3964843451976776,-0.6727558970451355,-0.03460666909813881,-1.0284396409988403,0.5176048278808594,-0.5589615702629089,0.22894956171512604,0.6297300457954407,-0.5068363547325134,-0.0006818281253799796]
11816;75;0;[0.7360397577285767,-0.7733790874481201,-0.22919631004333496,-0.793158233165741,1.874423861503601,-1.2049946784973145,0.92805016040802,0.028531935065984726,-0.042471516877412796,-0.5030286908149719]
11817;76;0;[0.6000855565071106,-0.8101910352706909,-0.5572570562362671,-1.0901446342468262,1.0437103509902954,-1.3559428453445435,0.6130061149597168,0.8229541182518005,-0.4127151072025299,-0.5069491267204285]
11818;77;0;[0.45334044098854065,-0.9590830206871033,-0.44935473799705505,-0.8070303797721863,1.183427333831787,-1.1570675373077393,1.0244426727294922,-0.03730037063360214,-0.9376024603843689,-0.01912817172706127]
11819;78;0;[0.1726175844669342,-0.7917081117630005,-0.1257023960351944,-0.429863840341568,1.3821666240692139,-1.3487110137939453,1.0194966793060303,0.08455292880535126,-0.3864583373069763,-0.15017205476760864]
11820;79;0;[0.5738651156425476,-0.25603872537612915,0.08717923611402512,-0.3431680500507355,0.6751389503479004,-0.741123616695404,-0.14050769805908203,0.531934380531311,-0.007113979198038578,0.6803666353225708]
11821;80;0;[0.9473536610603333,-1.2356414794921875,-0.32344141602516174,-0.38398322463035583,1.4992748498916626,-0.9640977382659912,0.37238776683807373,0.09807635843753815,-1.175634503364563,-1.4613378047943115]
11822;81;0;[0.36637264490127563,-1.6058398485183716,-0.056682176887989044,-0.9828165173530579,1.3184102773666382,-0.9425755143165588,1.0175504684448242,-0.3681078255176544,-0.5825197696685791,-0.22959880530834198]
11823;83;0;[0.7522550225257874,-0.2534957528114319,0.09359938651323318,-1.20059072971344,1.2361299991607666,-1.1455682516098022,0.6219304203987122,0.5016428828239441,0.04928206279873848,-0.6991249322891235]
11824;86;0;[0.9810372591018677,-0.8126481175422668,-0.052199069410562515,-1.0653795003890991,1.5034643411636353,-0.4107312262058258,0.4271291494369507,0.7145132422447205,0.4000210165977478,-0.14311179518699646]
11825;87;0;[0.5063666701316833,-0.7832912802696228,-0.5545552968978882,-0.8750638365745544,1.3832850456237793,-1.319969654083252,0.8420127630233765,0.1848965734243393,-0.5613469481468201,0.11620862782001495]
11826;88;0;[0.472910612821579,-0.5213679671287537,-0.5422820448875427,-1.2352977991104126,1.4094361066818237,-1.7583104372024536,0.5407512187957764,0.812833845615387,-0.07766387611627579,0.08920682966709137]
